names,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29
gnaph_acol_1529_18,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.059991473,0.000335,0.000295,0.617461261,0.000855,0.257846495,0.004290844,0.000315,0.000238,0.000477,0.000891,0.046083919,0.000197,0.000758,0.000549,0.000309,0.000245
gnaph_acol_1529_19,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.010053208,0.002731794,0.000321,0.000685,0.000383,0.040004104,0.000332,0.000292,0.727902009,0.000847,0.17772353,0.004249211,0.000312,0.000236,0.000472,0.000882,0.02623149,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_20,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.011002923,0.000335,0.000295,0.646854391,0.000855,0.287239625,0.004290844,0.000315,0.000238,0.000477,0.000891,0.036286209,0.000197,0.000758,0.000549,0.000309,0.000245
gnaph_acol_1529_21,0.000593,0.000267,0.55327272,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.410587044,0.004249211,0.000312,0.000236,0.000472,0.000882,0.016528844,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_22,0.000593,0.000267,0.679407124,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.010387297,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.255344702,0.004249211,0.000312,0.000236,0.000472,0.000882,0.035934136,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_23,0.000593,0.000267,0.630893891,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.332965873,0.004249211,0.000312,0.000236,0.000472,0.000882,0.006826197,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_24,0.000593,0.000267,0.320409206,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.020598812,0.000332,0.000292,0.000204,0.000847,0.58523468,0.004249211,0.000312,0.000236,0.000472,0.000882,0.055339429,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_25,0.010295158,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.051245026,0.281698066,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.507613509,0.004249211,0.000312,0.000236,0.000472,0.000882,0.132960601,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_26,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.059110729,0.000691,0.000387,0.001205212,0.000335,0.000295,0.480293319,0.049843413,0.355823596,0.004290844,0.000315,0.000238,0.000477,0.000891,0.026488499,0.000197,0.000758,0.000549,0.000309,0.010042917
gnaph_acol_1529_27,0.000593,0.000267,0.650299184,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.274749994,0.004249211,0.000312,0.000236,0.000472,0.000882,0.055339429,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_28,0.000598,0.000269,0.676266047,0.000864,0.000565,0.000564,0.000456,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.001205212,0.000335,0.000295,0.000206,0.000855,0.277441915,0.004290844,0.000315,0.000238,0.000477,0.000891,0.026488499,0.000197,0.000758,0.000549,0.000309,0.000245
